001101 0
001102 1
001112 22
001118 24
001201 0
001202 2
001210 17
001222 2
001223 2
001224 2
001225 2
001226 2
001227 2
001228 2
001229 2
001230 10
001231-001 34
001234 36
001250-001 30
001291 5
001292 18
001310 6
001311 16
001312 16
001314 26
001320-001 28
001321-004 11
001323 4
001330-001 30
001330-002 30
001341-001 11
001342-001 30
001342-002 28
001352 21
001355 16
001361-001 11
001362 13
001410-001 11
001410-002 11
001423-001 30
001440-001 7
001445 15
001447-001 9
001471-001 37
001472-001 12
002102-001 12
002102-002 12
002111-001 7
002111-002 7
002191-001 37
002192-001 37
002202-001 28
002202-002 28
002230-001 9
002260-001 34
002302-001 32
002302-002 32
002311-001 25
002311-002 25
002321-001 12
002331-001 7
002362-001 11
002402-001 12
002402-002 12
002441-001 30
002471-001 28
002472-001 34
003101-001 30
003102-001 32
003191 16
003202-001 34
003332-001 11
003414-001 7
003421-001 30
003436-001 25
003454-001 37
004282 22
004465-001 30
004470-001 37
004472-001 30
004474-001 9
004476-001 7
006103-001 12
006126-001 37
006226-001 25
006241-001 30
006253-001 11
006307-001 32
006326-001 34
006330-001 30
006349-001 39
006443-001 11
006448-001 25
006454-001 25
006475-001 28
006475-002 28
008214-001 30
008214-801 19
008314-001 32
008314-801 15
008326-001 7
008326-801 19
008402-001 30
008402-801 14
008411-001 7
009103 16
009213-001 7
009213-002 7
009234-001 25
009236-001 12
009236-002 12
009254-001 34
009301-001 25
009301-002 25
009344-001 9
009355-001 32
009356-001 7
009358-001 37
009363-001 11
009446-001 7
011100 23
011101-001 7
011151-001 7
011151-701 12
011154-001 7
011156-001 9
011157-001 11
011251 22
011268-001 32
011269-001 30
011276-001 19
011277-001 25
011278-001 37
011355-001 25
011367-001 12
011457-001 9
011479-001 7
011479-002 7
012173-001 32
012174-001 11
012200-001 32
012200-002 11
012374-001 9
012475-001 37
012475-002 37
013103 17
013110 21
013203 24
013204 6
013207-001 30
013208 18
013209 10
013216-001 7
013216-002 11
013216-801 14
013217 17
013301-001 9
013301-002 7
013303-001 39
013306 35
013321-001 11
013335-001 34
013337-001 34
013410-001 7
013413-001 32
013428-001 9
013431-001 25
013432-001 7
013433-001 28
014211-002 30
014270-001 32
014310-001 32
014311-001 7
014323-001 30
014370-001 25
014371-001 12
014383-001 30
014401-001 11
014422-001 34
014423-001 11
014471-001 11
014481-001 34
014483-001 37
015101-001 28
015102-001 37
016101-001 25
016102-001 32
017101-001 14
017102-001 9
017111-001 14
017231-001 37
018104-001 30
018112 3
018114 18
018126-001 32
018204-001 30
018271-001 9
018323-001 7
018352-001 34
018372-001 37
018467-001 9
018471-001 37
019101 20
019104-001 32
019104-801 19
019105 21
019106 20
019112-001 7
019112-801 14
019204-001 12
019204-801 19
019205-001 12
019205-701 12
019206-001 9
019212-001 11
019212-801 14
019222-001 9
019222-801 14
019332-001 7
019332-801 17
019351-001 32
019351-801 19
019362-001 11
019362-801 20
019371-001 28
019371-801 17
019373-001 30
019441-001 37
019441-801 14
020101 27
020102-001 19
020212-001 11
020231-001 14
020232-001 37
020232-002 34
020261-001 7
021101 31
021102-001 9
021102-701 9
021203-001 25
021204-001 19
021204-701 12
021270-001 14
021270-701 28
024752-001 25
025110-701 25
025310-701 9
025481-701 11
026101 21
026102 24
026111-001 34
026111-002 30
026112 8
026201-001 30
026201-002 25
029732-001 25
030101-001 30
030101-002 25
050100 4
050103 23
050104 10
050106-001 39
050106-002 39
050106-003 39
050106-004 39
050106-005 39
050106-006 39
050112 8
050113-001 9
051302-001 32
051304-001 32
051306-001 19
051310-001 34
051313-001 34
051418-001 25
052203 17
052310 15
052314-001 19
052323-001 25
052323-002 19
052331-001 9
052350-001 32
052350-002 32
052350-003 28
052351 8
052353 26
052355-001 9
052400-001 7
052417-001 28
052419-001 32
052422-001 34
052422-002 12
052442-001 9
052447-001 14
052448-001 25
052449-001 30
053713-001 28
053713-801 20
054821-001 12
055702-001 12
055702-801 15
055734-001 39
055734-801 20
055739-001 9
055739-801 18
055757-001 9
055757-801 17
057121 6
057122 18
057123-001 30
057125 20
057126 35
057127 10
057128 27
057129-001 37
057129-002 37
057130 31
057131-001 30
057132-001 7
057133 31
057134-001 7
057135-001 37
057136 3
057137-001 32
057137-801 39
057138-001 7
057139 5
057213-001 37
057283-001 32
057286-001 12
057287-001 28
057290-001 12
057295-001 9
057297-001 14
057298-001 9
057301-001 30
057302-001 14
057305 23
057316-001 19
057366-001 9
057401-001 19
057404-001 19
057407-001 12
057411-001 7
057413-001 39
057419-001 30
057427-001 9
057428 16
059405-001 9
059419-002 40
061103-001 39
061106-001 28
061201-001 28
061223-001 25
061224-001 9
061306 23
061312-001 25
061313-001 39
061403-001 40
061405-001 9
062200-001 37
062210-001 19
062320-001 25
062341-001 34
062343-001 34
062343-002 7
062499-002 40
062499-001 30
063201 10
064204-001 28
064231-001 9
064331-001 41
064411 33
064412-001 30
064421-001 37
064422-001 34
064423-001 37
064424-001 39
064430-001 32
064474-001 14
065120 26
065121-001 37
065121-002 37
065211-001 28
065212-001 28
065311-001 34
065320-001 32
065333 6
065420-001 28
065436-001 40
065437-001 40
065438-001 25
066222-001 12
066324-001 7
066412-001 9
066414-001 37
067201-001 32
067203-002 34
067311-001 37
067371-001 25
067433-001 37
067435-001 28
067436-001 9
067491-001 14
070200-001 39
070303-001 7
070305-001 12
070305-002 40
070305-003 7
070401-001 9
070411-001 25
070413-001 19
070413-002 19
070414-001 14
070416-001 37
070792-801 18
071411-001 19
071412-001 12
071413-001 32
071414-001 25
071415-001 7
071416-001 34
071418-001 14
071419-001 32
071420-001 19
071422-001 11
071423-001 14
071426-001 11
071724-001 30
071724-002 9
071724-801 15
071724-802 17
073721-001 14
073721-801 17
074100 33
074101 22
074414-001 37
076425-001 7
076426-001 37
076427-001 25
076430-001 9
076444-001 40
076466-001 39
078444 20
078454-001 7
079220-001 14
099101-001 34
099102-001 14
099103-002 40
099103-001 40
100109 35
100110 18
100111 26
100112 27
100207-001 37
100220-001 39
100222-001 25
100222-002 34
100222-003 19
100228-001 30
100228-002 7
100228-003 11
100228-004 14
100228-005 19
100229 21
100230 24
100231 29
100233-001 14
100307-001 19
100308 24
100309 27
100310-001 12
100311 23
100312-001 30
100312-002 25
100312-003 9
100312-004 32
100312-005 11
100312-006 25
100313 13
100314 31
100501 16
101201-001 32
101202-001 11
101205 10
101325-001 12
101405-001 25
101490-001 30
101490-002 30
103271-001 9
103271-002 25
103271-701 9
103271-801 41
103271-802 41
104100-001 37
104302-001 34
104310-001 11
104320-002 7
104334 29
104340-001 39
104435-001 39
104471-001 40
104490 31
109100-001 34
109114-001 11
112101-001 28
112105-001 39
112106 27
112109-001 9
112202-001 25
112205-002 9
112303-001 40
112321-001 25
112322-001 40
112406-001 39
112424-001 40
115301-002 9
115302-001 40
115401-001 25
116301-001 25
116302-001 40
126101 5
126102-001 11
126212-001 30
126213-001 11
126214 33
126324-001 7
126326-001 37
126328-001 32
126330-001 39
126330-002 39
126330-003 39
126332-001 34
126400-001 40
126400-002 40
126400-003 40
126400-004 40
126400-005 40
126400-006 40
126400-007 40
126400-008 40
126431-001 7
126436-001 11
126439-001 7
126442-001 9
127100 22
127101 35
127202-001 9
127205-001 7
127313 38
127329-001 11
127330-001 32
127332-001 9
127333-001 34
127359-001 7
127411-001 37
127415-001 30
127416-001 11
127424-001 32
127433-001 37
127492-001 7
127493-001 28
127716-001 9
127716-801 15
127720-001 25
127720-801 18
127721-001 28
127721-801 17
127727-001 25
127727-801 20
128100-001 28
128100-002 11
128101-001 7
128201-001 32
128201-002 32
128304-001 34
128304-002 34
128305-001 9
128305-002 9
128306-001 25
128306-002 25
128308 24
128310 23
128401-001 11
128401-002 11
128423-001 34
128425-001 30
128425-002 30
128427-001 34
128434-001 32
128443-001 32
128445-001 12
128451-001 9
128481-001 28
128484-001 37
128700-801 15
128714-801 17
128727-801 18
128734-801 20
140103-001 40
140104 2
152211-701 32
152301-701 25
152321-001 39
152331 17
154100-701 34
154104 21
154141 13
154152-001 32
154153-001 11
154173-001 30
154181-001 25
154251-001 12
154262-001 25
154276-001 9
154281 27
154301-001 39
154330-001 40
154431 18
154479-001 39
154492-001 37
159100 5
159101 27
159102-001 39
159151 17
159202-001 12
159204-001 9
159331-001 32
159351-001 7
159411-001 9
159434-001 25
160342-001 7
164261-001 7
164341-001 34
168100 15
168101-001 30
168410-001 37
176100 3
176101 18
176104-001 34
177103-001 17
177103-801 17
177104 20
177113 13
177114 15
177141-001 14
177141-002 14
177141-801 14
177142 29
177181 33
177220-001 7
177220-002 37
177220-801 41
177220-802 19
177220-803 37
177222-001 25
177222-002 25
177222-801 19
177222-802 19
177227-001 37
177227-801 37
177228-001 37
177228-801 37
177229-001 25
177229-801 19
177229-802 19
177229-803 25
177300-001 11
177300-801 14
177300-802 11
177321-001 32
177321-801 17
177332-001 19
177332-002 14
177332-801 19
177332-802 14
177335-001 19
177335-801 19
177341-001 30
177341-801 14
177361-001 37
177361-002 7
177361-801 19
177361-802 41
177413-001 14
177413-801 14
177420-001 25
177420-801 25
177425-001 25
177425-801 17
177429-001 11
177429-801 14
177430-001 15
177430-801 18
177431-001 37
177431-801 41
177433-001 19
177433-801 19
177441-001 32
177441-801 32
177447-001 19
177447-801 19
177460-001 20
177460-801 20
177464-001 20
177464-801 20
177465-001 41
177465-801 41
177466-001 18
177466-801 18
177470-001 9
177470-801 9
177483-001 30
177483-801 41
177491-001 37
177491-801 20
177494-001 14
177494-801 20
177494-802 17
177495-001 7
177495-801 14
179404-001 9
179404-801 9
179406-001 41
179406-801 41
179443-001 34
179443-801 34
201100 31
201110 3
201114 6
201116-001 12
201117-001 32
201190-001 34
202100-001 7
202101-001 28
202102 23
202147-001 37
202147-002 28
202231-001 9
202302-001 32
202303-001 30
202305-001 28
202311-001 30
202356-001 7
202362-001 9
202371-001 9
202405-001 11
202421-001 32
202446-001 7
202461-001 32
202471-001 32
202475-001 30
202476-001 12
202484-001 39
202731-001 12
202744-001 30
202802-001 12
202833-001 32
202843-001 7
202843-701 7
203100-001 9
203104-001 34
203108-001 30
203108-002 30
203108-005 30
203108-006 30
203108-007 30
203111 17
203113 6
203114 21
203131-001 28
203132-001 41
203132-002 41
203132-003 32
203132-004 32
203132-005 34
203132-006 34
203151-001 39
203152-001 39
203154-001 9
203158-001 32
203158-002 32
203158-005 34
203159-001 37
203159-002 41
203159-003 41
203159-004 37
203159-005 37
203162 8
203202-001 30
203204-001 28
203206 29
203208-001 34
203208-005 37
203209-001 37
203209-002 37
203209-003 37
203209-004 37
203209-005 34
203209-006 34
203209-008 41
203209-009 41
203209-010 41
203209-011 37
203209-012 37
203209-013 34
203209-014 34
203209-015 34
203209-016 34
203209-017 34
203209-019 34
203211-001 25
203222-001 11
203223-001 9
203226-001 7
203232-001 32
203236 31
203250-001 7
203287-001 34
203287-002 37
203287-003 34
203300-001 11
203304-001 32
203316-001 32
203351-001 40
203352-001 28
203404-001 28
203413-001 9
203424-001 25
203425-001 28
203435-001 32
203459-002 34
203474-001 37
203708-001 30
203715-001 11
203715-701 11
203719-001 32
203719-701 32
203721-001 32
203725-001 11
203734-001 28
203735-001 28
203749-001 25
203754-001 39
203754-701 39
203775-001 28
203804-001 9
203812-001 30
203812-701 30
203825-001 30
203829-001 9
203879-001 32
203879-701 32
204100 2
204101 35
204113-001 32
204113-002 32
204123-001 37
204202-001 37
204217-001 34
204217-002 34
204217-701 34
204217-702 34
204232-001 25
204232-002 25
204251-001 9
204251-002 9
204251-003 9
204306-001 12
204315-001 30
204315-002 30
204320-001 12
204333-001 11
204355-001 37
204362-001 32
204362-002 32
204382-001 7
204422-001 9
204423-001 34
204424-001 37
204425-001 7
204443-001 25
204456-001 11
204482-001 25
204483-001 37
204490-001 30
204490-002 30
204490-003 39
204725-001 39
204725-801 20
204725-802 18
204735-001 32
204735-801 15
204792-001 7
204792-002 37
204792-801 18
205100-001 7
205103-001 30
205105-001 28
205216-001 37
205216-002 37
205232-001 12
205244-001 30
205252-001 9
205282-001 7
205324-001 25
205344-001 9
205358-001 7
205382-001 30
205421-001 7
205441-001 9
205473-001 30
205476-001 12
206100 26
206103 23
206104 16
206108-001 28
206108-002 28
206111 13
206112 10
206161 4
206162 15
206171 6
206172 5
206181-001 28
206182-001 11
206191-001 30
206203-001 32
206216-001 9
206216-002 7
206217-002 32
206253-001 34
206255-701 11
206261-001 28
206261-002 28
206261-003 7
206261-801 19
206261-802 19
206266-001 25
206267-001 7
206281-001 7
206281-701 32
206311-001 34
206313-001 30
206321-001 12
206324-001 11
206327-001 37
206331-001 25
206336-001 9
206336-002 9
206341-001 32
206342-001 32
206362 18
206364-001 37
206367-001 28
206368-001 9
206370-001 28
206428-001 11
206435-001 9
206437-001 25
206457-001 28
206476-001 30
206481-001 7
206481-002 7
206703-801 12
206714-001 11
